"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
488263,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Wyoming",-104.583298,43.233299,"Saurischia","Dromaeosauridae"
488295,"Troodon","carnivorous","small theropod",2,70.6,66,"Montana",-106.916702,47.0667,"Saurischia","Troodontidae"
488296,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-106.916702,47.0667,"Saurischia","Caenagnathidae"
488297,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Montana",-106.916702,47.0667,"Saurischia","Troodontidae"
488349,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.916702,47.0667,"Saurischia","Dromaeosauridae"
488353,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Troodontidae"
488355,"Saurornithoides","carnivorous","small theropod",3,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Troodontidae"
488359,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Dromaeosauridae"
488361,"Ornithomimus","omnivorous","large theropod",4,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Ornithomimidae"
488363,"Tyrannosaurus","carnivorous","large theropod",12,70.6,66,"Wyoming",-104.637001,43.116329,"Saurischia","Tyrannosauridae"
488365,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Montana",-106.266701,47.599998,"Saurischia","Troodontidae"
488431,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.283302,47.599998,"Saurischia","Dromaeosauridae"
488582,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-107.050003,47.516701,"Saurischia","Caenagnathidae"
488599,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-107.050003,47.516701,"Saurischia","Dromaeosauridae"
488653,"Xenotarsosaurus",null,null,null,99.6,89.3,"Chubut",-69.616669,-45.316669,"Saurischia","Abelisauridae"
488677,"Tornieria",null,null,null,152.1,145,"Mashonaland North",30.800833,-16.265833,"Saurischia","Diplodocidae"
488678,"Brachiosaurus","herbivorous","sauropod",30,152.1,145,"Mashonaland North",30.800833,-16.265833,"Saurischia","Brachiosauridae"
488680,"Dicraeosaurus","herbivorous","sauropod",20,152.1,145,"Mashonaland North",30.800833,-16.265833,"Saurischia","Dicraeosauridae"
